model,problem,chunk_idx,n_chunks,rel_pos,in_degree,out_degree,n_descendants,frac_descendants,cf_kl,cf_acc,resamp_kl,overdet,tags
deepseek-r1-distill-llama-8b,problem_3360,387,395,0.9822335025380711,1,1,7,0.017766497461928935,0.009756174731545176,0.010000000000000009,0.010050335646067225,0.19999999999999996,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3360,388,395,0.9847715736040609,1,1,6,0.015228426395939087,0.00560225462155828,0.0,0.1972828260877841,0.88,final_answer_emission
deepseek-r1-distill-llama-8b,problem_3360,389,395,0.9873096446700508,1,1,5,0.012690355329949238,0.0,0.0,0.0,0.16000000000000003,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3360,390,395,0.9898477157360406,1,1,4,0.01015228426395939,0.0,0.0,0.0,0.08999999999999997,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3360,391,395,0.9923857868020305,1,1,3,0.007614213197969543,0.0,0.0,0.0,0.07999999999999996,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3360,392,395,0.9949238578680203,1,1,2,0.005076142131979695,0.0,0.0,0.0,0.71,result_consolidation
deepseek-r1-distill-llama-8b,problem_3360,393,395,0.9974619289340102,1,1,1,0.0025380710659898475,0.0,0.0,0.0,0.61,result_consolidation
deepseek-r1-distill-llama-8b,problem_3360,394,395,1.0,1,0,0,0.0,0.0,0.0,0.0,0.0,final_answer_emission
deepseek-r1-distill-llama-8b,problem_3448,0,104,0.0,0,0,0,0.0,1.962372361882569,-0.11534883720930234,1.6519095749627026,0.5,problem_setup
deepseek-r1-distill-llama-8b,problem_3448,1,104,0.009708737864077669,0,0,0,0.0,0.11193221219690695,0.15675675675675682,0.4877938912507312,0.56,problem_setup
deepseek-r1-distill-llama-8b,problem_3448,2,104,0.019417475728155338,0,0,0,0.0,1.4288252178251621,-0.10217391304347823,1.3439557177596029,0.7,plan_generation
deepseek-r1-distill-llama-8b,problem_3448,3,104,0.02912621359223301,0,1,1,0.009708737864077669,1.5986465380084214,0.16813294232649068,0.8435313839975647,0.74,problem_setup
deepseek-r1-distill-llama-8b,problem_3448,4,104,0.038834951456310676,1,0,0,0.0,1.2342196670091388,0.007977528089887609,1.1480493168595982,0.4242424242424242,problem_setup
deepseek-r1-distill-llama-8b,problem_3448,5,104,0.04854368932038835,0,1,98,0.9514563106796117,1.9664338145079092,-0.06144329896907219,2.0802332532428496,0.4,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,6,104,0.05825242718446602,1,2,97,0.941747572815534,0.4867265287612586,0.06391304347826088,0.4504547995416591,0.5,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,7,104,0.06796116504854369,1,1,96,0.9320388349514563,0.8029130644063655,-0.020967741935483897,0.9412947314040143,0.12,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,8,104,0.07766990291262135,1,1,95,0.9223300970873787,0.5608063424337334,0.12698113207547168,1.0754199213839606,0.32999999999999996,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3448,9,104,0.08737864077669903,1,1,94,0.912621359223301,2.3170201990541255,-0.020000000000000018,2.3170201990541255,0.18000000000000005,plan_generation
deepseek-r1-distill-llama-8b,problem_3448,10,104,0.0970873786407767,2,1,93,0.9029126213592233,2.1658980335555005,-0.08826086956521739,2.4918439484853483,0.4,active_computation
deepseek-r1-distill-llama-8b,problem_3448,11,104,0.10679611650485436,1,1,92,0.8932038834951457,1.5375256274845326,0.04040404040404033,1.4584613418898538,0.6599999999999999,active_computation
deepseek-r1-distill-llama-8b,problem_3448,12,104,0.11650485436893204,1,1,91,0.883495145631068,1.0499901915993546,-0.06000000000000005,1.69131458766733,0.46464646464646464,active_computation
deepseek-r1-distill-llama-8b,problem_3448,13,104,0.1262135922330097,1,1,90,0.8737864077669902,1.4236414436841698,0.006249999999999978,1.4464690313194937,0.18000000000000005,active_computation
deepseek-r1-distill-llama-8b,problem_3448,14,104,0.13592233009708737,1,1,89,0.8640776699029126,0.6631044768465459,0.04270270270270271,0.8729306148644663,0.15000000000000002,active_computation
deepseek-r1-distill-llama-8b,problem_3448,15,104,0.14563106796116504,1,1,88,0.8543689320388349,3.0659240533830303,0.12913043478260866,1.0465469112116297,0.5900000000000001,active_computation
deepseek-r1-distill-llama-8b,problem_3448,16,104,0.1553398058252427,1,1,87,0.8446601941747572,0.0,0.0,0.9410323837649044,0.07999999999999996,active_computation
deepseek-r1-distill-llama-8b,problem_3448,17,104,0.1650485436893204,1,1,86,0.8349514563106796,0.5452972723532377,0.11333333333333329,0.6994871144966133,0.5,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3448,18,104,0.17475728155339806,1,1,85,0.8252427184466019,1.1236038970135158,-0.13704918032786884,1.689059496362177,0.12,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3448,19,104,0.18446601941747573,1,1,84,0.8155339805825242,1.2935060107473653,0.050000000000000044,1.2935060107473655,0.5700000000000001,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3448,20,104,0.1941747572815534,1,1,83,0.8058252427184466,2.114193408163665,-0.20666666666666667,2.518571165147211,0.49,plan_generation
deepseek-r1-distill-llama-8b,problem_3448,21,104,0.20388349514563106,1,1,82,0.7961165048543689,0.9670971996589338,-0.00638297872340432,0.6477248714966302,0.79,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,22,104,0.21359223300970873,1,1,81,0.7864077669902912,0.0,0.0,1.0027803333254446,0.95,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,23,104,0.22330097087378642,1,1,80,0.7766990291262136,0.05177618171679955,0.03142857142857147,0.44742368495522417,0.69,self_checking
deepseek-r1-distill-llama-8b,problem_3448,24,104,0.23300970873786409,1,1,79,0.7669902912621359,0.04651994662981917,0.030000000000000027,1.0066320679690406,0.77,self_checking
deepseek-r1-distill-llama-8b,problem_3448,25,104,0.24271844660194175,1,1,78,0.7572815533980582,0.0,0.0,0.6521716850046727,0.9,active_computation
deepseek-r1-distill-llama-8b,problem_3448,26,104,0.2524271844660194,1,1,77,0.7475728155339806,0.0,0.0,1.0204950113788953,0.89,self_checking
deepseek-r1-distill-llama-8b,problem_3448,27,104,0.2621359223300971,1,1,76,0.7378640776699029,0.0,0.0,0.44838198570024557,0.89,self_checking
deepseek-r1-distill-llama-8b,problem_3448,28,104,0.27184466019417475,1,1,75,0.7281553398058253,0.0,0.0,1.2929226874529278,0.98,active_computation
deepseek-r1-distill-llama-8b,problem_3448,29,104,0.2815533980582524,1,1,74,0.7184466019417476,0.041031296495554814,0.030000000000000027,0.8230011947179074,0.64,self_checking
deepseek-r1-distill-llama-8b,problem_3448,30,104,0.2912621359223301,1,1,73,0.7087378640776699,0.3417033236034649,0.07780487804878045,0.4694697716905083,0.72,plan_generation
deepseek-r1-distill-llama-8b,problem_3448,31,104,0.30097087378640774,1,1,72,0.6990291262135923,2.0797498371390635,-0.08392405063291142,1.6136193719947438,0.10999999999999999,active_computation
deepseek-r1-distill-llama-8b,problem_3448,32,104,0.3106796116504854,1,1,71,0.6893203883495146,0.0,0.0,0.465800045704034,0.94,active_computation
deepseek-r1-distill-llama-8b,problem_3448,33,104,0.32038834951456313,1,1,70,0.6796116504854369,0.530861892388321,0.0004761904761905189,0.8368708118502096,0.41000000000000003,active_computation
deepseek-r1-distill-llama-8b,problem_3448,34,104,0.3300970873786408,1,1,69,0.6699029126213593,0.04145667246230932,0.020000000000000018,1.2180865597926234,0.5900000000000001,active_computation
deepseek-r1-distill-llama-8b,problem_3448,35,104,0.33980582524271846,1,1,68,0.6601941747572816,0.06160765819280249,0.039999999999999925,0.2622165095099745,0.35,active_computation
deepseek-r1-distill-llama-8b,problem_3448,36,104,0.34951456310679613,1,1,67,0.6504854368932039,0.0,0.0,1.4679286715962105,0.49,active_computation
deepseek-r1-distill-llama-8b,problem_3448,37,104,0.3592233009708738,1,1,66,0.6407766990291263,0.0,0.0,0.6764274342830594,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,38,104,0.36893203883495146,1,1,65,0.6310679611650486,0.0,0.0,1.0522447346770785,0.9299999999999999,active_computation
deepseek-r1-distill-llama-8b,problem_3448,39,104,0.3786407766990291,1,1,64,0.6213592233009708,0.0,0.0,1.2929249596131502,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,40,104,0.3883495145631068,1,1,63,0.6116504854368932,0.46209128212721606,-0.17000000000000004,0.06873613469440147,0.61,active_computation
deepseek-r1-distill-llama-8b,problem_3448,41,104,0.39805825242718446,1,1,62,0.6019417475728155,0.0,0.0,1.039402520566202,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,42,104,0.4077669902912621,1,1,61,0.5922330097087378,5.364183859565744,-0.20000000000000007,5.364183859565744,0.6799999999999999,active_computation
deepseek-r1-distill-llama-8b,problem_3448,43,104,0.4174757281553398,1,1,60,0.5825242718446602,0.0,0.0,1.261175794951651,0.65,active_computation
deepseek-r1-distill-llama-8b,problem_3448,44,104,0.42718446601941745,1,1,59,0.5728155339805825,0.06570702566380451,0.06117647058823528,0.46585960745239846,0.75,active_computation
deepseek-r1-distill-llama-8b,problem_3448,45,104,0.4368932038834951,1,1,58,0.5631067961165048,0.15246847829821134,0.16000000000000003,0.5189640059843618,0.6599999999999999,active_computation
deepseek-r1-distill-llama-8b,problem_3448,46,104,0.44660194174757284,1,1,57,0.5533980582524272,2.7541602320318073,0.16999999999999993,2.7541602320318073,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,47,104,0.4563106796116505,1,1,56,0.5436893203883495,6.6420555035691216,-0.19999999999999996,6.6420555035691216,0.94,active_computation
deepseek-r1-distill-llama-8b,problem_3448,48,104,0.46601941747572817,1,1,55,0.5339805825242718,0.0,0.0,0.24441673276441972,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,49,104,0.47572815533980584,1,1,54,0.5242718446601942,0.0,0.0,0.6296502840638779,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,50,104,0.4854368932038835,1,1,53,0.5145631067961165,0.0,0.0,0.6218039655711716,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,51,104,0.49514563106796117,1,1,52,0.5048543689320388,0.0,0.0,0.9009557007743669,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,52,104,0.5048543689320388,1,1,51,0.49514563106796117,5.122699196904754,-0.24,5.122699196904754,0.79,active_computation
deepseek-r1-distill-llama-8b,problem_3448,53,104,0.5145631067961165,1,1,50,0.4854368932038835,0.0,0.0,0.23808064512442464,0.81,active_computation
deepseek-r1-distill-llama-8b,problem_3448,54,104,0.5242718446601942,1,1,49,0.47572815533980584,0.10986122299448944,-0.020000000000000018,1.2180952132338398,0.96,active_computation
deepseek-r1-distill-llama-8b,problem_3448,55,104,0.5339805825242718,1,1,48,0.46601941747572817,0.11394421856764951,0.18000000000000005,0.1421575619851293,0.86,active_computation
deepseek-r1-distill-llama-8b,problem_3448,56,104,0.5436893203883495,1,1,47,0.4563106796116505,0.0,0.0,1.8426941257059413,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,57,104,0.5533980582524272,1,1,46,0.44660194174757284,0.0,0.0,0.8191623359476763,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,58,104,0.5631067961165048,1,1,45,0.4368932038834951,4.654645906436053,-0.24,4.654645906436053,0.86,active_computation
deepseek-r1-distill-llama-8b,problem_3448,59,104,0.5728155339805825,1,1,44,0.42718446601941745,0.0,0.0,0.6117491701467462,0.88,active_computation
deepseek-r1-distill-llama-8b,problem_3448,60,104,0.5825242718446602,1,1,43,0.4174757281553398,0.46382083471475566,0.12610169491525425,0.35830032287048275,0.96,active_computation
deepseek-r1-distill-llama-8b,problem_3448,61,104,0.5922330097087378,1,1,42,0.4077669902912621,0.0,0.0,2.294291873567569,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,62,104,0.6019417475728155,1,1,41,0.39805825242718446,6.982979020106498,-0.29999999999999993,6.982979020106498,0.94,active_computation
deepseek-r1-distill-llama-8b,problem_3448,63,104,0.6116504854368932,1,1,40,0.3883495145631068,2.085147668966983,-0.040909090909090895,0.44493409205144424,0.9299999999999999,active_computation
deepseek-r1-distill-llama-8b,problem_3448,64,104,0.6213592233009708,1,1,39,0.3786407766990291,0.3862661256564924,0.30876288659793816,0.3720224206890028,0.8,active_computation
deepseek-r1-distill-llama-8b,problem_3448,65,104,0.6310679611650486,1,1,38,0.36893203883495146,4.2458434751210214,-0.33482758620689657,6.752327030601734,0.86,active_computation
deepseek-r1-distill-llama-8b,problem_3448,66,104,0.6407766990291263,1,1,37,0.3592233009708738,0.0,0.0,0.22743744086851986,0.99,active_computation
deepseek-r1-distill-llama-8b,problem_3448,67,104,0.6504854368932039,1,1,36,0.34951456310679613,0.7752932810846326,-0.04555555555555557,0.3946687116753339,0.87,active_computation
deepseek-r1-distill-llama-8b,problem_3448,68,104,0.6601941747572816,1,1,35,0.33980582524271846,0.010695285963591518,0.010000000000000009,0.20723265837324717,0.98,active_computation
deepseek-r1-distill-llama-8b,problem_3448,69,104,0.6699029126213593,1,1,34,0.3300970873786408,0.015504175706144674,0.020000000000000018,0.21728350591291734,0.9,active_computation
deepseek-r1-distill-llama-8b,problem_3448,70,104,0.6796116504854369,1,1,33,0.32038834951456313,4.702963773575486,-0.19999999999999996,0.3946666639903824,0.86,active_computation
deepseek-r1-distill-llama-8b,problem_3448,71,104,0.6893203883495146,1,1,32,0.3106796116504854,0.0,0.0,0.0,0.32999999999999996,active_computation
deepseek-r1-distill-llama-8b,problem_3448,72,104,0.6990291262135923,1,1,31,0.30097087378640774,0.0,0.0,0.0,0.08999999999999997,active_computation
deepseek-r1-distill-llama-8b,problem_3448,73,104,0.7087378640776699,1,1,30,0.2912621359223301,0.009661910695708079,0.010000000000000009,0.010050335646067225,0.29000000000000004,self_checking
deepseek-r1-distill-llama-8b,problem_3448,74,104,0.7184466019417476,1,1,29,0.2815533980582524,0.2159001728562538,-0.0004166666666666208,0.20723265837324717,0.8200000000000001,self_checking
deepseek-r1-distill-llama-8b,problem_3448,75,104,0.7281553398058253,1,1,28,0.27184466019417475,1.2258448750822426,-0.05555555555555558,0.1972828260877841,0.91,result_consolidation
deepseek-r1-distill-llama-8b,problem_3448,76,104,0.7378640776699029,1,1,27,0.2621359223300971,0.009569450797869661,0.010000000000000009,0.010050335646067225,0.26,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3448,77,104,0.7475728155339806,1,1,26,0.2524271844660194,0.012270091480646018,0.010000000000000009,0.20723265837324717,0.24,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,78,104,0.7572815533980582,1,1,25,0.24271844660194175,0.33115311911582695,-0.016129032258064502,0.1972828260877841,0.43000000000000005,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,79,104,0.7669902912621359,1,1,24,0.23300970873786409,0.0,0.0,0.0,0.7,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,80,104,0.7766990291262136,1,1,23,0.22330097087378642,0.0,0.0,0.0,0.6699999999999999,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,81,104,0.7864077669902912,1,1,22,0.21359223300970873,0.0,0.0,0.0,0.6699999999999999,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,82,104,0.7961165048543689,1,1,21,0.20388349514563106,0.0,0.0,0.0,0.9299999999999999,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3448,83,104,0.8058252427184466,1,1,20,0.1941747572815534,0.0,0.0,0.0,0.86,final_answer_emission
deepseek-r1-distill-llama-8b,problem_3448,84,104,0.8155339805825242,1,1,19,0.18446601941747573,0.0,0.0,0.0,0.020000000000000018,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3448,85,104,0.8252427184466019,1,1,18,0.17475728155339806,0.0,0.0,0.0,0.27,self_checking
deepseek-r1-distill-llama-8b,problem_3448,86,104,0.8349514563106796,1,1,17,0.1650485436893204,0.0,0.0,0.0,0.92,self_checking
deepseek-r1-distill-llama-8b,problem_3448,87,104,0.8446601941747572,1,1,16,0.1553398058252427,0.0,0.0,0.0,0.16000000000000003,self_checking
deepseek-r1-distill-llama-8b,problem_3448,88,104,0.8543689320388349,1,1,15,0.14563106796116504,0.0,0.0,0.0,0.10999999999999999,self_checking
deepseek-r1-distill-llama-8b,problem_3448,89,104,0.8640776699029126,1,1,14,0.13592233009708737,0.0,0.0,0.0,0.95,self_checking
deepseek-r1-distill-llama-8b,problem_3448,90,104,0.8737864077669902,1,1,13,0.1262135922330097,0.0,0.0,0.010050335646067225,0.99,self_checking
deepseek-r1-distill-llama-8b,problem_3448,91,104,0.883495145631068,1,1,12,0.11650485436893204,0.018018505031734158,0.010000000000000009,0.20723265837324717,0.92,self_checking
deepseek-r1-distill-llama-8b,problem_3448,92,104,0.8932038834951457,1,1,11,0.10679611650485436,0.005037777599958383,0.0,0.1972828260877841,0.06000000000000005,self_checking
deepseek-r1-distill-llama-8b,problem_3448,93,104,0.9029126213592233,1,1,10,0.0970873786407767,0.0,0.0,0.0,0.33999999999999997,self_checking
deepseek-r1-distill-llama-8b,problem_3448,94,104,0.912621359223301,1,1,9,0.08737864077669903,0.0,0.0,0.0,0.54,self_checking
deepseek-r1-distill-llama-8b,problem_3448,95,104,0.9223300970873787,1,1,8,0.07766990291262135,0.0,0.0,0.0,0.92,self_checking
deepseek-r1-distill-llama-8b,problem_3448,96,104,0.9320388349514563,1,1,7,0.06796116504854369,0.0,0.0,0.0,0.91,self_checking
deepseek-r1-distill-llama-8b,problem_3448,97,104,0.941747572815534,1,1,6,0.05825242718446602,0.0,0.0,0.0,0.06999999999999995,self_checking
deepseek-r1-distill-llama-8b,problem_3448,98,104,0.9514563106796117,1,1,5,0.04854368932038835,0.0,0.0,0.0,0.4,self_checking
deepseek-r1-distill-llama-8b,problem_3448,99,104,0.9611650485436893,1,1,4,0.038834951456310676,0.005797116954087224,0.010000000000000009,0.010050335646067225,0.16000000000000003,self_checking
deepseek-r1-distill-llama-8b,problem_3448,100,104,0.970873786407767,1,1,3,0.02912621359223301,0.1972828260877841,-0.010000000000000009,0.1972828260877841,0.6599999999999999,self_checking
deepseek-r1-distill-llama-8b,problem_3448,101,104,0.9805825242718447,1,1,2,0.019417475728155338,0.0,0.0,0.0,0.20999999999999996,self_checking
deepseek-r1-distill-llama-8b,problem_3448,102,104,0.9902912621359223,1,1,1,0.009708737864077669,0.006872878910573101,0.010000000000000009,0.010050335646067225,0.5700000000000001,self_checking
deepseek-r1-distill-llama-8b,problem_3448,103,104,1.0,1,0,0,0.0,0.0,0.0,0.0,0.0,final_answer_emission
deepseek-r1-distill-llama-8b,problem_3550,0,521,0.0,0,1,1,0.0019230769230769232,5.94738490439923,0.1,5.850067323078294,0.2727272727272727,problem_setup
deepseek-r1-distill-llama-8b,problem_3550,1,521,0.0019230769230769232,1,0,0,0.0,5.598293647505515,-0.046153846153846156,5.112960081657624,0.5,problem_setup
deepseek-r1-distill-llama-8b,problem_3550,2,521,0.0038461538461538464,0,1,509,0.9788461538461538,6.526112452002795,0.03535353535353536,5.976738508220614,0.641025641025641,problem_setup
deepseek-r1-distill-llama-8b,problem_3550,3,521,0.0057692307692307696,1,1,508,0.9769230769230769,0.0,0.0,4.680908789769804,0.9545454545454546,problem_setup
deepseek-r1-distill-llama-8b,problem_3550,4,521,0.007692307692307693,1,2,507,0.975,3.0690047910218485,0.07027027027027027,3.0690047910218485,0.5945945945945945,problem_setup
deepseek-r1-distill-llama-8b,problem_3550,5,521,0.009615384615384616,0,1,483,0.9288461538461539,7.889825913904373,0.11842105263157895,6.123636520342881,0.8,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,6,521,0.011538461538461539,1,1,482,0.926923076923077,6.586548200626827,-0.2571428571428571,7.1457488909128175,0.5789473684210527,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,7,521,0.013461538461538462,1,1,481,0.925,5.271181231813265,0.06155950752393982,5.315075588235363,0.6571428571428571,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,8,521,0.015384615384615385,0,1,2,0.0038461538461538464,0.0,0.0,4.117329462528917,0.8372093023255813,problem_setup
deepseek-r1-distill-llama-8b,problem_3550,9,521,0.01730769230769231,1,1,1,0.0019230769230769232,6.643900688010557,0.038011695906432746,6.072137227947177,0.717948717948718,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,10,521,0.019230769230769232,0,0,0,0.0,5.966201981144435,0.1388888888888889,6.717965563393411,0.7631578947368421,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3550,11,521,0.021153846153846155,1,0,0,0.0,6.0736421511423915,-0.11666666666666667,7.565193516188379,0.6944444444444444,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3550,12,521,0.023076923076923078,1,7,30,0.057692307692307696,7.590017713950637,0.04999999999999999,7.393715335598605,0.2222222222222222,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,13,521,0.025,1,0,0,0.0,4.575012951872471,0.017142857142857154,4.184025846753286,0.3928571428571429,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,14,521,0.026923076923076925,1,1,480,0.9230769230769231,5.920103796314375,-0.04375000000000001,6.538634843083969,0.08571428571428574,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,15,521,0.028846153846153848,1,1,479,0.9211538461538461,5.950105593621652,0.01583710407239819,5.220979281255361,0.30000000000000004,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,16,521,0.03076923076923077,1,1,480,0.9230769230769231,6.87030965619093,0.10147058823529413,6.87030965619093,0.20588235294117652,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,17,521,0.032692307692307694,1,1,479,0.9211538461538461,0.6332507742374477,-0.125,3.436466729285403,0.17500000000000004,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,18,521,0.03461538461538462,2,1,478,0.9192307692307692,4.945703319729505,0.08214285714285713,5.699733311343316,0.19444444444444442,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,19,521,0.03653846153846154,1,2,477,0.9173076923076923,3.888213180302846,0.11590909090909093,3.8882131803028455,0.55,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,20,521,0.038461538461538464,1,0,0,0.0,5.9020389537770965,-0.1186868686868687,5.9020389537770965,0.25,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,21,521,0.04038461538461539,1,1,475,0.9134615384615384,6.86035052139099,0.01785714285714285,4.294135040907998,0.2777777777777778,active_computation
deepseek-r1-distill-llama-8b,problem_3550,22,521,0.04230769230769231,1,2,474,0.9115384615384615,3.8960548781756765,0.1580547112462006,4.262707700967915,0.675,active_computation
deepseek-r1-distill-llama-8b,problem_3550,23,521,0.04423076923076923,1,1,2,0.0038461538461538464,2.9010653816212826,-0.03083923154701719,2.829693999469787,0.14893617021276595,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,24,521,0.046153846153846156,1,1,1,0.0019230769230769232,4.493043864110234,-0.01263902932254804,4.493043864110234,0.09302325581395354,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,25,521,0.04807692307692308,1,0,0,0.0,7.309116626725017,0.09811985898942421,7.309116626725017,0.15217391304347827,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3550,26,521,0.05,1,1,470,0.9038461538461539,7.381491330042704,-0.19926739926739925,8.005640709448212,0.3783783783783784,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3550,27,521,0.051923076923076926,1,2,469,0.9019230769230769,5.247935334165618,0.18205128205128207,6.204049108276524,0.10256410256410253,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,28,521,0.05384615384615385,1,1,8,0.015384615384615385,3.5231722046771927,-0.021026592455163876,4.650780201039014,0.0,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,29,521,0.05576923076923077,1,1,7,0.013461538461538462,6.393302944222888,-0.056285178236397754,7.228798247733854,0.10204081632653061,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3550,30,521,0.057692307692307696,1,1,6,0.011538461538461539,6.409993054756108,-0.09615384615384615,6.409993054756108,0.0,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,31,521,0.05961538461538462,1,1,5,0.009615384615384616,4.906519404197292,0.03260869565217392,4.906519404197292,0.050000000000000044,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,32,521,0.06153846153846154,2,1,4,0.007692307692307693,5.320586004813472,0.1633986928104575,6.079639683069751,0.0,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,33,521,0.06346153846153846,1,1,3,0.0057692307692307696,6.6150365286188375,-0.09253065774804906,6.8196948668478266,0.20588235294117652,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,34,521,0.06538461538461539,1,1,2,0.0038461538461538464,2.8001604674101044,0.1112531969309463,4.077597539300432,0.10256410256410253,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,35,521,0.0673076923076923,1,1,1,0.0019230769230769232,7.664606112778137,-0.02301790281329924,7.664606112778135,0.19565217391304346,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3550,36,521,0.06923076923076923,1,0,0,0.0,7.1231610275196005,-0.15000000000000002,6.185369599044328,0.6764705882352942,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,37,521,0.07115384615384615,1,1,459,0.8826923076923077,5.1639813170500775,0.22988505747126436,6.546855551906078,0.6,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,38,521,0.07307692307692308,1,2,458,0.8807692307692307,0.0,0.0,7.192393307833621,0.4137931034482759,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,39,521,0.075,1,0,0,0.0,4.982396608484304,0.10806451612903226,4.4833150623471205,0.2571428571428571,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,40,521,0.07692307692307693,1,1,2,0.0038461538461538464,4.507755202113767,0.12299465240641712,4.6165736391561,0.25,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,41,521,0.07884615384615384,1,1,1,0.0019230769230769232,3.9250466508343234,-0.1411764705882353,3.9250466508343234,0.05882352941176472,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3550,42,521,0.08076923076923077,1,0,0,0.0,5.75489607969319,-0.03378378378378377,5.798285616182419,0.22499999999999998,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,43,521,0.08269230769230769,1,2,456,0.8769230769230769,7.353078346870243,0.033333333333333354,6.745663257466561,0.0357142857142857,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,44,521,0.08461538461538462,1,1,5,0.009615384615384616,4.933458622529014,0.055844155844155835,4.8735214061661765,0.30000000000000004,fact_retrieval
deepseek-r1-distill-llama-8b,problem_3550,45,521,0.08653846153846154,1,1,4,0.007692307692307693,6.121319727681811,-0.03739837398373985,3.8484202701996892,0.22857142857142854,active_computation
deepseek-r1-distill-llama-8b,problem_3550,46,521,0.08846153846153847,1,1,3,0.0057692307692307696,6.584458477378778,-0.051490514905149026,6.584458477378778,0.5365853658536586,uncertainty_management
deepseek-r1-distill-llama-8b,problem_3550,47,521,0.09038461538461538,1,1,2,0.0038461538461538464,5.537187486745158,0.05714285714285716,5.402289001385427,0.08333333333333337,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,48,521,0.09230769230769231,1,1,1,0.0019230769230769232,4.509026142573572,0.020465116279069773,4.767757408864704,0.02857142857142858,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,49,521,0.09423076923076923,1,0,0,0.0,5.491009508538293,0.015151515151515138,4.546151308260366,0.5116279069767442,plan_generation
deepseek-r1-distill-llama-8b,problem_3550,50,521,0.09615384615384616,1,46,449,0.8634615384615385,5.4554725714565215,0.011363636363636367,5.777607115778463,0.09090909090909094,fact_retrieval
